Brand,Price,Year,Model,Details,Image URL,Price_in_USD,Power,Usage,Odometer_miles,Range_miles
Audi,"US$ 47,900",2024,A3,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11508084.jpg,47900,Gasolina,Nuevo,,
Audi,"US$ 43,900",2024,Q2,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/10553469.jpg,43900,Gasolina,Nuevo,,
Audi,"US$ 42,500",2024,Q2,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/8893667.jpg,42500,Gasolina,Nuevo,,
Audi,"US$ 42,500",2024,Q2,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12336041.jpg,42500,Gasolina,Nuevo,,
Audi,"US$ 83,900",2024,Q5 Quattro,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12937412.jpg,83900,Gasolina,Nuevo,,
Audi,"US$ 44,900",2024,A3,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12895456.jpg,44900,Gasolina,Nuevo,,
Audi,"US$ 37,900",2024,Q2,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12895486.jpg,37900,Gasolina,Nuevo,,
Audi,"US$ 54,500",2024,Q3 S Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12895507.jpg,54500,Gasolina,Nuevo,,
Audi,"US$ 79,500",2024,Q5 45 TFSI QUATTRO,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/13079383.jpg,79500,Gasolina,Nuevo,,
Audi,"US$ 108,900",2024,Q8 E-TRON SPORTBACK,2024 - Eléctrico - Usado - Rango 600 Km,https://img.supercarros.com/AdsPhotos/282x188/5/13001082.jpg,108900,Electrico,Usado ,,967
Audi,"US$ 63,900",2024,A4 Sport Sline,2024 - Gasolina - Nuevo - 15 Km,https://img.supercarros.com/AdsPhotos/282x188/5/12970634.jpg,63900,Gasolina,Nuevo ,24,
Audi,"US$ 115,900",2024,Q8 E-TRON SPORTBACK,2024 - Eléctrico - Usado - Rango 500 Km,https://img.supercarros.com/AdsPhotos/282x188/5/12959695.jpg,115900,Electrico,Usado ,,806
Audi,"US$ 44,900",2024,A3,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12843640.jpg,44900,Gasolina,Nuevo,,
Audi,"US$ 54,900",2024,Q3 35 TFSI Advance Plus,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12829219.jpg,54900,Gasolina,Nuevo,,
Audi,"US$ 54,900",2024,Q3 35 TFSI Advance Plus,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12828391.jpg,54900,Gasolina,Nuevo,,
Audi,"US$ 57,500",2024,Q3 S Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12793380.jpg,57500,Gasolina,Nuevo,,
Audi,"US$ 51,900",2024,A3,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12607799.jpg,51900,Gasolina,Nuevo,,
Audi,"US$ 79,500",2024,Q5 40 TDI S-Line SUV,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12602928.jpg,79500,Gasolina,Nuevo,,
Audi,"US$ 54,500",2024,Q3 S Line,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12598551.jpg,54500,Gasolina,Nuevo,,
Audi,"US$ 62,500",2024,Q3 SportBack,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12579515.jpg,62500,Gasolina,Nuevo,,
Audi,"US$ 42,500",2024,Q2,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12305139.jpg,42500,Gasolina,Nuevo,,
Audi,"US$ 108,000",2024,Q7 55 TFSI,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11974149.jpg,108000,Gasolina,Nuevo,,
Audi,"US$ 37,900",2024,Q2,2024 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11899573.jpg,37900,Gasolina,Nuevo,,
Audi,"US$ 215,800",2023,Q8,2023 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13187687.jpg,215800,Gasolina,Usado,,
Audi,"US$ 225,000",2023,RS Q8,2023 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/13175459.jpg,225000,Gasolina,Usado,,
Audi,"US$ 124,900",2023,E-Tron,2023 - Eléctrico - Nuevo - Rango 460 Km,https://img.supercarros.com/AdsPhotos/282x188/5/12162165.jpg,124900,Electrico,Nuevo ,,741
Audi,"US$ 98,500",2023,Q7,2023 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12372980.jpg,98500,Gasolina,Nuevo,,
Audi,"US$ 210,000",2023,RS Q8,2023 - Gasolina - Usado - 800 Km,https://img.supercarros.com/AdsPhotos/282x188/5/12886364.jpg,210000,Gasolina,Usado ,1290,
Audi,"US$ 134,900",2023,E-Tron Sportback 55 S-Line,2023 - Eléctrico - Nuevo - Rango 446 Km,https://img.supercarros.com/AdsPhotos/282x188/5/12162090.jpg,134900,Electrico,Nuevo ,,719
Audi,"US$ 39,900",2023,Q2,2023 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12027853.jpg,39900,Gasolina,Nuevo,,
Audi,"US$ 68,500",2023,S3,2023 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/12064230.jpg,68500,Gasolina,Nuevo,,
Audi,"US$ 375,000",2023,R8 LEGENDE,2023 - Gasolina - Usado,https://img.supercarros.com/AdsPhotos/282x188/5/12820796.jpg,375000,Gasolina,Usado,,
Audi,"US$ 195,000",2023,RS E-TRON GT,2023 - Eléctrico - Nuevo - Rango 453 Km,https://img.supercarros.com/AdsPhotos/282x188/5/11618816.jpg,195000,Electrico,Nuevo ,,730
Audi,"US$ 68,900",2023,S3,2023 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/11853795.jpg,68900,Gasolina,Nuevo,,
Audi,"US$ 134,900",2023,E-Tron Sportback 55 S-Line,2023 - Eléctrico - Nuevo - Rango 446 Km,https://img.supercarros.com/AdsPhotos/282x188/5/11594485.jpg,134900,Electrico,Nuevo ,,719
Audi,"US$ 95,000",2023,A6 Turbo S-Line,2023 - Gasolina - Nuevo,https://img.supercarros.com/AdsPhotos/282x188/5/10356726.jpg,95000,Gasolina,Nuevo,,
